Tracing USDT probes and IO intervals... Ctrl-C to stop.

===== Phase Report (start–stop) =====

-- Summary by Phase --
Phase                                               Count     Avg(ms)     Min(ms)     Max(ms)     Total(ms)
[2144] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[2145] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[2146] Operator Reciprocal Square Root (NC)[22,0]: Elapsed 0 (ms)
[2147] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[2148] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[2149] Operator Fully Connected (NC, QDU8, F32, QC8W)[25,0]: Elapsed 6 (ms)
[2150] Operator Sigmoid (NC)[26,0]: Elapsed 0 (ms)
[2151] Operator Multiply (ND)[27,0]: Elapsed 0 (ms)
[2152] Operator Fully Connected (NC, QDU8, F32, QC8W)[28,0]: Elapsed 5 (ms)
[2153] Operator Multiply (ND)[29,0]: Elapsed 0 (ms)
[2154] Operator Fully Connected (NC, QDU8, F32, QC8W)[30,0]: Elapsed 5 (ms)
[2155] Operator Add (ND)[31,0]: Elapsed 0 (ms)
[2156] Operator Multiply (ND)[32,0]: Elapsed 0 (ms)
[2157] Operator Sum (ND)[33,0]: Elapsed 0 (ms)
[2158] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[2159] Operator Add (ND)[35,0]: Elapsed 0 (ms)
[2160] Operator Reciprocal Square Root (NC)[36,0]: Elapsed 0 (ms)
[2161] Operator Multiply (ND)[37,0]: Elapsed 0 (ms)
[2162] Operator Multiply (ND)[38,0]: Elapsed 0 (ms)
[2163] Operator Fully Connected (NC, QDU8, F32, QC8W)[39,0]: Elapsed 2 (ms)
[2164] Operator Static Reshape (NC)[40,0]: Elapsed 0 (ms)
[2165] Operator Slice (ND, X32)[41,0]: Elapsed 0 (ms)
[2166] Operator Slice (ND, X32)[42,0]: Elapsed 0 (ms)
[2167] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[2168] Operator Static Reshape (NC)[44,0]: Elapsed 0 (ms)
[2169] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[2170] Operator Slice (ND, X32)[46,0]: Elapsed 0 (ms)
[2171] Operator Multiply (ND)[47,0]: Elapsed 0 (ms)
[2172] Operator Multiply (ND)[48,0]: Elapsed 0 (ms)
[2173] Operator Subtract (ND)[49,0]: Elapsed 0 (ms)
[2174] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[2175] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[2176] Operator Add (ND)[52,0]: Elapsed 0 (ms)
[2177] Operator Copy (NC, X32)[53,0]: Elapsed 0 (ms)
[2178] Operator Copy (NC, X32)[53,1]: Elapsed 0 (ms)
[2179] Operator Static Reshape (NC)[54,0]: Elapsed 0 (ms)
[2180] Operator Static Reshape (NC)[55,0]: Elapsed 0 (ms)
[2181] Operator Slice (ND, X32)[56,0]: Elapsed 0 (ms)
[2182] Operator Slice (ND, X32)[57,0]: Elapsed 0 (ms)
[2183] Operator Multiply (ND)[58,0]: Elapsed 0 (ms)
[2184] Operator Multiply (ND)[59,0]: Elapsed 0 (ms)
[2185] Operator Subtract (ND)[60,0]: Elapsed 0 (ms)
[2186] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[2187] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[2188] Operator Add (ND)[63,0]: Elapsed 0 (ms)
[2189] Operator Copy (NC, X32)[64,0]: Elapsed 0 (ms)
[2190] Operator Copy (NC, X32)[64,1]: Elapsed 0 (ms)
[2191] Operator Static Reshape (NC)[65,0]: Elapsed 0 (ms)
[2192] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[2193] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[2194] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[2195] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[2196] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[2197] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[2198] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[2199] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[2200] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[2201] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[2202] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[2203] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[2204] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[2205] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[2206] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[2207] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[2208] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 1 (ms)
[2209] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[2210] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[2211] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[2212] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[2213] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[2214] Operator Reciprocal Square Root (NC)[22,0]: Elapsed 0 (ms)
[2215] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[2216] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[2217] Operator Fully Connected (NC, QDU8, F32, QC8W)[25,0]: Elapsed 4 (ms)
[2218] Operator Sigmoid (NC)[26,0]: Elapsed 0 (ms)
[2219] Operator Multiply (ND)[27,0]: Elapsed 0 (ms)
[2220] Operator Fully Connected (NC, QDU8, F32, QC8W)[28,0]: Elapsed 6 (ms)
[2221] Operator Multiply (ND)[29,0]: Elapsed 0 (ms)
[2222] Operator Fully Connected (NC, QDU8, F32, QC8W)[30,0]: Elapsed 4 (ms)
[2223] Operator Add (ND)[31,0]: Elapsed 0 (ms)
[2224] Operator Multiply (ND)[32,0]: Elapsed 0 (ms)
[2225] Operator Sum (ND)[33,0]: Elapsed 0 (ms)
[2226] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[2227] Operator Add (ND)[35,0]: Elapsed 0 (ms)
[2228] Operator Reciprocal Square Root (NC)[36,0]: Elapsed 0 (ms)
[2229] Operator Multiply (ND)[37,0]: Elapsed 0 (ms)
[2230] Operator Multiply (ND)[38,0]: Elapsed 0 (ms)
[2231] Operator Fully Connected (NC, QDU8, F32, QC8W)[39,0]: Elapsed 3 (ms)
[2232] Operator Static Reshape (NC)[40,0]: Elapsed 0 (ms)
[2233] Operator Slice (ND, X32)[41,0]: Elapsed 0 (ms)
[2234] Operator Slice (ND, X32)[42,0]: Elapsed 0 (ms)
[2235] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[2236] Operator Static Reshape (NC)[44,0]: Elapsed 0 (ms)
[2237] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[2238] Operator Slice (ND, X32)[46,0]: Elapsed 0 (ms)
[2239] Operator Multiply (ND)[47,0]: Elapsed 0 (ms)
[2240] Operator Multiply (ND)[48,0]: Elapsed 0 (ms)
[2241] Operator Subtract (ND)[49,0]: Elapsed 0 (ms)
[2242] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[2243] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[2244] Operator Add (ND)[52,0]: Elapsed 0 (ms)
[2245] Operator Copy (NC, X32)[53,0]: Elapsed 0 (ms)
[2246] Operator Copy (NC, X32)[53,1]: Elapsed 0 (ms)
[2247] Operator Static Reshape (NC)[54,0]: Elapsed 0 (ms)
[2248] Operator Static Reshape (NC)[55,0]: Elapsed 0 (ms)
[2249] Operator Slice (ND, X32)[56,0]: Elapsed 0 (ms)
[2250] Operator Slice (ND, X32)[57,0]: Elapsed 0 (ms)
[2251] Operator Multiply (ND)[58,0]: Elapsed 0 (ms)
[2252] Operator Multiply (ND)[59,0]: Elapsed 0 (ms)
[2253] Operator Subtract (ND)[60,0]: Elapsed 0 (ms)
[2254] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[2255] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[2256] Operator Add (ND)[63,0]: Elapsed 0 (ms)
[2257] Operator Copy (NC, X32)[64,0]: Elapsed 0 (ms)
[2258] Operator Copy (NC, X32)[64,1]: Elapsed 0 (ms)
[2259] Operator Static Reshape (NC)[65,0]: Elapsed 0 (ms)
[2260] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[2261] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[2262] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[2263] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[2264] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[2265] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[2266] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[2267] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[2268] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[2269] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[2270] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[2271] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[2272] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[2273] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[2274] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[2275] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[2276] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 1 (ms)
[2277] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[2278] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[2279] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[2280] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[2281] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[2282] Operator Reciprocal Square Root (NC)[22,0]: Elapsed 0 (ms)
[2283] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[2284] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[2285] Operator Fully Connected (NC, QDU8, F32, QC8W)[25,0]: Elapsed 4 (ms)
[2286] Operator Sigmoid (NC)[26,0]: Elapsed 0 (ms)
[2287] Operator Multiply (ND)[27,0]: Elapsed 0 (ms)
[2288] Operator Fully Connected (NC, QDU8, F32, QC8W)[28,0]: Elapsed 4 (ms)
[2289] Operator Multiply (ND)[29,0]: Elapsed 0 (ms)
[2290] Operator Fully Connected (NC, QDU8, F32, QC8W)[30,0]: Elapsed 5 (ms)
[2291] Operator Add (ND)[31,0]: Elapsed 0 (ms)
[2292] Operator Multiply (ND)[32,0]: Elapsed 0 (ms)
[2293] Operator Sum (ND)[33,0]: Elapsed 0 (ms)
[2294] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[2295] Operator Add (ND)[35,0]: Elapsed 0 (ms)
[2296] Operator Reciprocal Square Root (NC)[36,0]: Elapsed 0 (ms)
[2297] Operator Multiply (ND)[37,0]: Elapsed 0 (ms)
[2298] Operator Multiply (ND)[38,0]: Elapsed 0 (ms)
[2299] Operator Fully Connected (NC, QDU8, F32, QC8W)[39,0]: Elapsed 2 (ms)
[2300] Operator Static Reshape (NC)[40,0]: Elapsed 0 (ms)
[2301] Operator Slice (ND, X32)[41,0]: Elapsed 0 (ms)
[2302] Operator Slice (ND, X32)[42,0]: Elapsed 0 (ms)
[2303] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[2304] Operator Static Reshape (NC)[44,0]: Elapsed 0 (ms)
[2305] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[2306] Operator Slice (ND, X32)[46,0]: Elapsed 0 (ms)
[2307] Operator Multiply (ND)[47,0]: Elapsed 0 (ms)
[2308] Operator Multiply (ND)[48,0]: Elapsed 0 (ms)
[2309] Operator Subtract (ND)[49,0]: Elapsed 0 (ms)
[2310] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[2311] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[2312] Operator Add (ND)[52,0]: Elapsed 0 (ms)
[2313] Operator Copy (NC, X32)[53,0]: Elapsed 0 (ms)
[2314] Operator Copy (NC, X32)[53,1]: Elapsed 0 (ms)
[2315] Operator Static Reshape (NC)[54,0]: Elapsed 0 (ms)
[2316] Operator Static Reshape (NC)[55,0]: Elapsed 0 (ms)
[2317] Operator Slice (ND, X32)[56,0]: Elapsed 0 (ms)
[2318] Operator Slice (ND, X32)[57,0]: Elapsed 0 (ms)
[2319] Operator Multiply (ND)[58,0]: Elapsed 0 (ms)
[2320] Operator Multiply (ND)[59,0]: Elapsed 0 (ms)
[2321] Operator Subtract (ND)[60,0]: Elapsed 0 (ms)
[2322] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[2323] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[2324] Operator Add (ND)[63,0]: Elapsed 0 (ms)
[2325] Operator Copy (NC, X32)[64,0]: Elapsed 0 (ms)
[2326] Operator Copy (NC, X32)[64,1]: Elapsed 0 (ms)
[2327] Operator Static Reshape (NC)[65,0]: Elapsed 0 (ms)
[2328] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[2329] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[2330] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[2331] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[2332] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[2333] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[2334] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[2335] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[2336] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[2337] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[2338] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[2339] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[2340] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[2341] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[2342] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[2343] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[2344] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 1 (ms)
[2345] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[2346] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[2347] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[2348] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[2349] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[2350] Operator Reciprocal Square Root (NC)[22,0]: Elapsed 0 (ms)
[2351] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[2352] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[2353] Operator Fully Connected (NC, QDU8, F32, QC8W)[25,0]: Elapsed 4 (ms)
[2354] Operator Sigmoid (NC)[26,0]: Elapsed 0 (ms)
[2355] Operator Multiply (ND)[27,0]: Elapsed 0 (ms)
[2356] Operator Fully Connected (NC, QDU8, F32, QC8W)[28,0]: Elapsed 5 (ms)
[2357] Operator Multiply (ND)[29,0]: Elapsed 0 (ms)
[2358] Operator Fully Connected (NC, QDU8, F32, QC8W)[30,0]: Elapsed 4 (ms)
[2359] Operator Add (ND)[31,0]: Elapsed 0 (ms)
[2360] Operator Multiply (ND)[32,0]: Elapsed 0 (ms)
[2361] Operator Sum (ND)[33,0]: Elapsed 0 (ms)
[2362] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[2363] Operator Add (ND)[35,0]: Elapsed 0 (ms)
[2364] Operator Reciprocal Square Root (NC)[36,0]: Elapsed 0 (ms)
[2365] Operator Multiply (ND)[37,0]: Elapsed 0 (ms)
[2366] Operator Multiply (ND)[38,0]: Elapsed 0 (ms)
[2367] Operator Fully Connected (NC, QDU8, F32, QC8W)[39,0]: Elapsed 3 (ms)
[2368] Operator Static Reshape (NC)[40,0]: Elapsed 0 (ms)
[2369] Operator Slice (ND, X32)[41,0]: Elapsed 0 (ms)
[2370] Operator Slice (ND, X32)[42,0]: Elapsed 0 (ms)
[2371] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[2372] Operator Static Reshape (NC)[44,0]: Elapsed 0 (ms)
[2373] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[2374] Operator Slice (ND, X32)[46,0]: Elapsed 0 (ms)
[2375] Operator Multiply (ND)[47,0]: Elapsed 0 (ms)
[2376] Operator Multiply (ND)[48,0]: Elapsed 0 (ms)
[2377] Operator Subtract (ND)[49,0]: Elapsed 0 (ms)
[2378] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[2379] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[2380] Operator Add (ND)[52,0]: Elapsed 0 (ms)
[2381] Operator Copy (NC, X32)[53,0]: Elapsed 0 (ms)
[2382] Operator Copy (NC, X32)[53,1]: Elapsed 0 (ms)
[2383] Operator Static Reshape (NC)[54,0]: Elapsed 0 (ms)
[2384] Operator Static Reshape (NC)[55,0]: Elapsed 0 (ms)
[2385] Operator Slice (ND, X32)[56,0]: Elapsed 0 (ms)
[2386] Operator Slice (ND, X32)[57,0]: Elapsed 0 (ms)
[2387] Operator Multiply (ND)[58,0]: Elapsed 0 (ms)
[2388] Operator Multiply (ND)[59,0]: Elapsed 0 (ms)
[2389] Operator Subtract (ND)[60,0]: Elapsed 0 (ms)
[2390] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[2391] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[2392] Operator Add (ND)[63,0]: Elapsed 0 (ms)
[2393] Operator Copy (NC, X32)[64,0]: Elapsed 0 (ms)
[2394] Operator Copy (NC, X32)[64,1]: Elapsed 0 (ms)
[2395] Operator Static Reshape (NC)[65,0]: Elapsed 0 (ms)
[2396] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[2397] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[2398] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[2399] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[2400] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[2401] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[2402] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[2403] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[2404] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[2405] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[2406] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[2407] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[2408] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[2409] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[2410] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[2411] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[2412] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[2413] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[2414] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[2415] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[2416] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[2417] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[2418] Operator Reciprocal Square Root (NC)[22,0]: Elapsed 0 (ms)
[2419] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[2420] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[2421] Operator Fully Connected (NC, QDU8, F32, QC8W)[25,0]: Elapsed 5 (ms)
[2422] Operator Sigmoid (NC)[26,0]: Elapsed 0 (ms)
[2423] Operator Multiply (ND)[27,0]: Elapsed 0 (ms)
[2424] Operator Fully Connected (NC, QDU8, F32, QC8W)[28,0]: Elapsed 4 (ms)
[2425] Operator Multiply (ND)[29,0]: Elapsed 0 (ms)
[2426] Operator Fully Connected (NC, QDU8, F32, QC8W)[30,0]: Elapsed 5 (ms)
[2427] Operator Add (ND)[31,0]: Elapsed 0 (ms)
[2428] Operator Multiply (ND)[32,0]: Elapsed 0 (ms)
[2429] Operator Sum (ND)[33,0]: Elapsed 0 (ms)
[2430] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[2431] Operator Add (ND)[35,0]: Elapsed 0 (ms)
[2432] Operator Reciprocal Square Root (NC)[36,0]: Elapsed 0 (ms)
[2433] Operator Multiply (ND)[37,0]: Elapsed 0 (ms)
[2434] Operator Multiply (ND)[38,0]: Elapsed 0 (ms)
[2435] Operator Fully Connected (NC, QDU8, F32, QC8W)[39,0]: Elapsed 2 (ms)
[2436] Operator Static Reshape (NC)[40,0]: Elapsed 0 (ms)
[2437] Operator Slice (ND, X32)[41,0]: Elapsed 0 (ms)
[2438] Operator Slice (ND, X32)[42,0]: Elapsed 0 (ms)
[2439] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[2440] Operator Static Reshape (NC)[44,0]: Elapsed 0 (ms)
[2441] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[2442] Operator Slice (ND, X32)[46,0]: Elapsed 0 (ms)
[2443] Operator Multiply (ND)[47,0]: Elapsed 0 (ms)
[2444] Operator Multiply (ND)[48,0]: Elapsed 0 (ms)
[2445] Operator Subtract (ND)[49,0]: Elapsed 0 (ms)
[2446] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[2447] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[2448] Operator Add (ND)[52,0]: Elapsed 0 (ms)
[2449] Operator Copy (NC, X32)[53,0]: Elapsed 0 (ms)
[2450] Operator Copy (NC, X32)[53,1]: Elapsed 0 (ms)
[2451] Operator Static Reshape (NC)[54,0]: Elapsed 0 (ms)
[2452] Operator Static Reshape (NC)[55,0]: Elapsed 0 (ms)
[2453] Operator Slice (ND, X32)[56,0]: Elapsed 0 (ms)
[2454] Operator Slice (ND, X32)[57,0]: Elapsed 0 (ms)
[2455] Operator Multiply (ND)[58,0]: Elapsed 0 (ms)
[2456] Operator Multiply (ND)[59,0]: Elapsed 0 (ms)
[2457] Operator Subtract (ND)[60,0]: Elapsed 0 (ms)
[2458] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[2459] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[2460] Operator Add (ND)[63,0]: Elapsed 0 (ms)
[2461] Operator Copy (NC, X32)[64,0]: Elapsed 0 (ms)
[2462] Operator Copy (NC, X32)[64,1]: Elapsed 0 (ms)
[2463] Operator Static Reshape (NC)[65,0]: Elapsed 0 (ms)
[2464] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[2465] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[2466] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[2467] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[2468] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[2469] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[2470] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[2471] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[2472] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[2473] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[2474] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[2475] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[2476] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[2477] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[2478] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[2479] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[2480] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[2481] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[2482] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[2483] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[2484] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[2485] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[2486] Operator Reciprocal Square Root (NC)[22,0]: Elapsed 0 (ms)
[2487] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[2488] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[2489] Operator Fully Connected (NC, QDU8, F32, QC8W)[25,0]: Elapsed 5 (ms)
[2490] Operator Sigmoid (NC)[26,0]: Elapsed 0 (ms)
[2491] Operator Multiply (ND)[27,0]: Elapsed 0 (ms)
[2492] Operator Fully Connected (NC, QDU8, F32, QC8W)[28,0]: Elapsed 5 (ms)
[2493] Operator Multiply (ND)[29,0]: Elapsed 0 (ms)
[2494] Operator Fully Connected (NC, QDU8, F32, QC8W)[30,0]: Elapsed 5 (ms)
[2495] Operator Add (ND)[31,0]: Elapsed 0 (ms)
[2496] Operator Multiply (ND)[32,0]: Elapsed 0 (ms)
[2497] Operator Sum (ND)[33,0]: Elapsed 0 (ms)
[2498] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[2499] Operator Add (ND)[35,0]: Elapsed 0 (ms)
[2500] Operator Reciprocal Square Root (NC)[36,0]: Elapsed 0 (ms)
[2501] Operator Multiply (ND)[37,0]: Elapsed 0 (ms)
[2502] Operator Multiply (ND)[38,0]: Elapsed 0 (ms)
[2503] Operator Fully Connected (NC, QDU8, F32, QC8W)[39,0]: Elapsed 3 (ms)
[2504] Operator Static Reshape (NC)[40,0]: Elapsed 0 (ms)
[2505] Operator Slice (ND, X32)[41,0]: Elapsed 0 (ms)
[2506] Operator Slice (ND, X32)[42,0]: Elapsed 0 (ms)
[2507] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[2508] Operator Static Reshape (NC)[44,0]: Elapsed 0 (ms)
[2509] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[2510] Operator Slice (ND, X32)[46,0]: Elapsed 0 (ms)
[2511] Operator Multiply (ND)[47,0]: Elapsed 0 (ms)
[2512] Operator Multiply (ND)[48,0]: Elapsed 0 (ms)
[2513] Operator Subtract (ND)[49,0]: Elapsed 0 (ms)
[2514] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[2515] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[2516] Operator Add (ND)[52,0]: Elapsed 0 (ms)
[2517] Operator Copy (NC, X32)[53,0]: Elapsed 0 (ms)
[2518] Operator Copy (NC, X32)[53,1]: Elapsed 0 (ms)
[2519] Operator Static Reshape (NC)[54,0]: Elapsed 0 (ms)
[2520] Operator Static Reshape (NC)[55,0]: Elapsed 0 (ms)
[2521] Operator Slice (ND, X32)[56,0]: Elapsed 0 (ms)
[2522] Operator Slice (ND, X32)[57,0]: Elapsed 0 (ms)
[2523] Operator Multiply (ND)[58,0]: Elapsed 0 (ms)
[2524] Operator Multiply (ND)[59,0]: Elapsed 0 (ms)
[2525] Operator Subtract (ND)[60,0]: Elapsed 0 (ms)
[2526] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
