Tracing USDT probes and IO intervals... Ctrl-C to stop.

===== Phase Report (start–stop) =====

-- Summary by Phase --
Phase                                               Count     Avg(ms)     Min(ms)     Max(ms)     Total(ms)
[191] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[192] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[193] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[194] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[195] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[196] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[197] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[198] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[199] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[200] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[201] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[202] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[203] Operator Add (ND)[17,0]: Elapsed 0 (ms)
